cencus-location,eviction-location,number_filing_2020,number_filing_2021,number_filing_2022,number_filing_after_moratorium,number_RENTER_households_LATEST_from_eviction_website,filing_rate_after_mora,number_renter_household,filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
Connecticut,connecticut,6346,9300,17612,19461,465065,0.0418457635,469663.143,0.01351181181,0.06,0.2405347189,1385437,2.5,372439,0.294,0.422,0.285,0.122,0.661,0.339,3570549,2649994,382161,9079,163262,1189,192217,172647,66586,106061
Delaware,delaware,7413,8323,8655,10830,104542,0.1035947275,106092.558,0.06987295,0.058,0.2568289691,370953,2.54,90822,0.28,0.444,0.281,0.116,0.714,0.286,967679,652587,212795,3560,38528,705,21937,37567,8973,28594
Indiana,indiana,40915,52877,53210,66333,794237,0.08351789201,793844.85,0.05154029783,0.047,0.2199506547,2602770,2.5,716930,0.307,0.387,0.29,0.114,0.695,0.305,6696893,5510354,631923,14030,158705,2205,157085,222591,61517,161074
Minnesota,minnesota,4404,5562,17148,18332,620733,0.02953282651,620444.628,0.007098135436,0.038,0.2222605544,2207988,2.48,619373,0.3,0.38,0.288,0.115,0.719,0.281,5600166,4572149,359817,54558,275242,2201,118748,217451,42594,174857
Missouri,missouri,23343,26067,25959,32433,802535,0.0404131907,802829.748,0.02907590315,0.045,0.2340694887,2440212,2.44,640224,0.295,0.399,0.298,0.119,0.671,0.329,6124160,4978046,698043,24274,123810,8887,76782,214318,51673,162645
New Mexico,newmexico,9033,9187,9239,11186,252353,0.04432679619,253681.6,0.03560762783,0.066,0.2387577425,792755,2.59,199483,0.293,0.432,0.31,0.127,0.68,0.32,2097021,1467849,43476,195166,33695,1853,184680,170302,114872,55430
"Greenville CCD, Greenville County, South Carolina","Greenville, SC",9734,9819,10388,13155,62747,0.2096514574,47300.513,0.2057905799,0.042,0.2152456809,117371,2.45,31729,0.3,0.371,0.311,0.106,0.597,0.403,295546,200362,58995,1314,8823,1188,13059,11805,4489,7316
"Phoenix city, Arizona","Phoenix, AZ",37690,41383,42092,59200,586804,0.1008854745,257890.74,0.1461471629,0.054,0.1602583661,580835,2.82,181424,0.358,0.317,0.282,0.085,0.556,0.444,1658422,1131594,117807,33719,64060,3148,170928,137166,82243,54923
"Bridgeport city, Connecticut","Bridgeport, CT",1291,1907,3567,3908,112078,0.03486857367,29795.126,0.04332923445,0.115,0.1752796282,51638,2.72,15929,0.352,0.363,0.309,0.12,0.423,0.577,145014,55211,49827,752,5553,124,23850,9697,4969,4728
"Hartford city, Connecticut","Hartford, CT",1974,2876,5546,6107,125768,0.04855766173,35839.222,0.05507932064,0.113,0.1671168267,47722,2.41,12289,0.307,0.326,0.393,0.11,0.249,0.751,122549,36273,45572,562,3100,80,25104,11858,3786,8072
"Wilmington city, Delaware","Wilmington, DE",4808,5293,5928,7356,66082,0.1113162435,16695.896,0.287974961,0.098,0.2015993206,29708,2.26,5915,0.23,0.352,0.471,0.134,0.438,0.562,70655,24410,40444,118,948,11,2397,2327,682,1645
"Gainesville city, Florida","Gainesville, FL",1037,1260,1573,1855,44082,0.04208066785,31373.34,0.03305354164,0.051,0.15286915,51180,2.33,7190,0.16,0.272,0.428,0.099,0.387,0.613,133611,86243,27674,549,8986,135,1744,8280,2706,5574
"Jacksonville city, Florida","Jacksonville, FL",7669,8597,10348,11869,155567,0.07629510115,152080.724,0.05042716656,0.055,0.1960901419,348809,2.53,90476,0.29,0.353,0.317,0.1,0.564,0.436,902488,507948,278694,1896,43628,609,23227,46486,15601,30885
"Tampa city, Florida","Tampa, FL",11592,13697,13510,16340,352376,0.04637092197,79449.435,0.1459041213,0.058,0.182765362,156705,2.45,37522,0.271,0.325,0.358,0.101,0.493,0.507,395912,243907,92331,946,17789,296,11623,29020,13525,15495
"Indianapolis city (balance), Indiana","Indianapolis, IN",14484,19721,19713,25500,171814,0.1484163107,157699.5,0.09184556704,0.057,0.1816371765,342825,2.49,82766,0.275,0.326,0.372,0.102,0.54,0.46,869387,512585,251815,1873,32342,150,33805,36817,8114,28703
"South Bend city, Indiana","South Bend, IN",1324,1873,2082,2597,32420,0.08010487353,16836.616,0.07863813013,0.06,0.1914769297,39709,2.5,10993,0.301,0.362,0.368,0.144,0.576,0.424,102686,61565,26049,490,1871,48,5485,7178,2856,4322
"New Orleans city, Louisiana","New Orleans, LA",3070,3110,4441,5520,79579,0.06936503349,77722.652,0.03949942418,0.085,0.2143954362,154826,2.43,27639,0.213,0.381,0.465,0.138,0.498,0.502,391249,130678,231679,723,11305,31,6852,9981,2782,7199
"Boston city, Massachusetts","Boston, MA",2705,3371,3571,4031,292933,0.01376082585,176752.636,0.0153038736,0.069,0.1652179085,273188,2.35,51313,0.214,0.301,0.36,0.101,0.353,0.647,689326,359219,166796,2127,67705,364,43173,49942,15515,34427
"Minneapolis city, Minnesota","Minneapolis-Saint Paul, MN",1860,2222,8354,8642,275972,0.03131477106,94094.036,0.01976745901,0.052,0.1477165659,178886,2.28,37481,0.227,0.252,0.403,0.089,0.474,0.526,424536,266834,80114,5868,25100,116,21210,25294,5157,20137
"Kansas City city, Missouri","Kansas City, MO",4453,5052,6161,7455,119674,0.06229423267,95308.29,0.04672206374,0.049,0.1925734692,206295,2.34,49748,0.268,0.33,0.371,0.104,0.538,0.462,491158,296233,135875,1702,13660,1228,18965,23495,6163,17332
"St. Louis city, Missouri","St Louis, MO",7386,8525,10444,12402,207619,0.05973441737,80253.394,0.09203349082,0.058,0.2049496405,143566,2.05,27034,0.222,0.329,0.454,0.112,0.441,0.559,304709,141519,139140,784,10266,112,3441,9447,1752,7695
"Las Vegas city, Nevada","Las Vegas, NV",20249,38056,36953,52838,362272,0.1458517357,110585.528,0.1831071422,0.069,0.2061964585,237308,2.68,64866,0.31,0.379,0.3,0.1,0.534,0.466,644594,377032,78225,6168,43408,5521,81491,52749,24483,28266
"Albuquerque city, New Mexico","Albuquerque, NM",5627,5330,5523,6595,99091,0.06655498481,91191.297,0.06170544981,0.056,0.216195287,229701,2.42,55576,0.271,0.376,0.359,0.125,0.603,0.397,560447,394098,17319,25169,16972,479,54853,51557,32046,19511
"New York city, New York","New York, NY",75110,42192,75696,81321,2132397,0.03813595686,2144816.352,0.03501931526,0.066,0.205965665,3191691,2.57,779648,0.284,0.389,0.321,0.118,0.328,0.672,8379552,3463286,1996121,36884,1197261,5283,1209179,471538,231070,240468
"Cincinnati city, Ohio","Cincinnati, OH",7888,9915,9714,12029,143889,0.08359916324,84743.256,0.09308115327,0.073,0.1807775028,138696,2.09,29511,0.236,0.297,0.446,0.108,0.389,0.611,302687,152334,125210,205,6614,157,4309,13858,2915,10943
"Cleveland city, Ohio","Cleveland, OH",4395,4310,1195,2801,99850,0.02805207812,101628.52,0.04324573456,0.124,0.2096099715,174920,2.12,37278,0.252,0.363,0.45,0.137,0.419,0.581,383331,152216,182546,1721,9495,243,14806,22304,5675,16629
"Columbus city, Ohio","Columbus, OH",12120,15435,15827,19185,238402,0.08047331818,199806.926,0.06065855795,0.054,0.1547140355,362626,2.39,90390,0.278,0.275,0.36,0.086,0.449,0.551,889079,510325,259403,2198,52684,385,20264,43820,7437,36383
"Philadelphia city, Pennsylvania","Philadelphia, PA",7690,6800,10770,12013,282465,0.04252916291,289395,0.02657267748,0.088,0.1952557364,613125,2.5,138508,0.27,0.365,0.372,0.121,0.528,0.472,1581531,622027,654092,5255,117274,588,114988,67307,20854,46453
"Pittsburgh city, Pennsylvania","Pittsburgh, PA",5178,5788,8458,9543,193411,0.04934052355,74884.368,0.06914660747,0.054,0.2091169188,140496,1.98,21753,0.175,0.334,0.442,0.132,0.467,0.533,301286,199950,69232,581,17570,170,2868,10915,1772,9143
"Charleston city, South Carolina","Charleston, SC",6950,5635,7226,8409,61209,0.1373817576,25522.796,0.2723055891,0.034,0.2131187017,57226,2.29,11158,0.208,0.348,0.358,0.111,0.554,0.446,137041,101247,28468,82,2855,241,1419,2729,470,2259
"Memphis city, Tennessee","Memphis, TN",16217,16058,18022,22997,157847,0.1456917141,137596.728,0.1178589072,0.086,0.1946613203,255756,2.49,61419,0.287,0.358,0.379,0.115,0.462,0.538,650910,181406,419253,1329,11476,172,22895,14379,5456,8923
"Austin city, Texas","Austin, TX",3396,1750,7356,7341,225010,0.03262521666,215427.6,0.01576399681,0.044,0.1398228751,395280,2.39,95570,0.264,0.242,0.339,0.064,0.455,0.545,965872,670243,75208,6978,74503,642,75561,62737,28621,34116
"Dallas city, Texas","Dallas, TX",21198,23478,33221,39373,464121,0.08483348092,307880.326,0.06885142768,0.049,0.1556863149,524498,2.52,137523,0.299,0.284,0.355,0.08,0.413,0.587,1338846,773172,325324,4459,48320,533,101705,85333,56767,28566
"Fort Worth city, Texas","Fort Worth, TX",19505,21672,31935,36707,381009,0.09634155624,132116.64,0.1476346961,0.057,0.1453014444,307248,2.85,104415,0.382,0.29,0.263,0.074,0.57,0.43,892221,535854,165406,4562,43134,658,88464,54143,26566,27577
"Houston city, Texas","Houston, TX",34630,38193,63277,72588,768357,0.09447171042,499526.217,0.06932569067,0.062,0.1589261459,874827,2.61,248361,0.321,0.302,0.327,0.085,0.429,0.571,2313238,1192226,528145,8012,158853,1088,262512,162402,111421,50981
"Richmond city, Virginia","Richmond, VA",8458,4538,8902,8723,82080,0.1062743665,51235.815,0.1650798372,0.063,0.1931571807,91005,2.4,15382,0.198,0.344,0.431,0.128,0.437,0.563,229233,103624,105692,369,4765,28,5263,9492,1484,8008
"Milwaukee city, Wisconsin","Milwaukee, WI",8990,8086,10556,12795,193121,0.06625379943,135931.611,0.06613619844,0.063,0.155819043,229227,2.51,62084,0.304,0.298,0.374,0.1,0.407,0.593,592649,249190,229893,3165,27253,228,49551,33369,12590,20779